"","fb_data9.message"
"107","#94541번째울림
2017. 09. 17. 오후
<사랑>
너가 혹시나 글을 올렷을까 자주 대나무숲에 들어와 보는데 마치 너가 올린글인것 같아서 나도 이렇게 글을 남겨.
나도 더이상 너를 괴롭히거나 미련갖지않을거야.
시간이 지나 우리가 나이 들고 서로 좀더 성숙해지고,둘다 성장햇을때 그때도 생각나고 어떻게 지내는지 궁금하고 그럴때 다시...
마지막까지 이렇게 밖에 못하는 나의 마음,행동이 너에게 가벼워보이지않았으면 좋겠어"
"108","#94540번째울림
2017. 09. 17. 오전
<게임>
오버워치 팀 잘못만나면 지는거 개빡치네요? 골드로 힐딱이해서 플레가기 너무 힘들어요. 고통스럽지만 가장 어두울 때는 해뜨기 직전이니까 좀 더 힘을 내볼게요!"
"109","#94539번째울림
2017. 09. 17. 오전
<학교>
먼저 제가 지관말고는 살아본 적이 없기 때문에 지관에 한정된 제보임을 말씀드립니다.

지관은 신관과 달리 공용화장실, 공용샤워실을 사용하게 되어있습니다. 씻는사람이라면 한 번쯤은 이용해 보셨을 겁니다.

공용샤워실에는 불투명한 문이 있습니다. 아무래도 샤워하러 들어가기 전에 다 벗고 들어가기 때문에 밖에서 보이지 않도록 문을 닫을 수 있게 함이겠죠.

가끔 샤워하고 나올때면 이 문이 활~~짝 열려있는 경우가 있습니다. 저는 샤워하기 전에 닫고 들어왔으니 같이 씻던 사람중 한분이 문을 활짝 열고 가셨겠죠.

참 당황스럽습니다. 지관은 남자 기숙사여서 여학우분들께선 들어오시지 못하지만 여자(청소해주시는 여사님들, 운영실 직원분들 등) 몇분께서는 들어오실수 있으세요. 그분들은 각 층에 저희 지관 학생들을 위해 오실때가 꽤나 많습니다. 문열고 가시는 분들은 다른 사람의 알몸을 그분들께 보여드릴려고 문을 활짝 열고가시는 건가요? 저는 아직 그런일을 겪지 않아 다행이지만 행여나 그런 일이 벌어진다면 서로 얼마나 당황스러울까요?

지관에 여자분들이 각 층에 계실 시간이 매우 적으니 그러면 운이 안좋은거지 뭐냐? 이런 생각을 가지시는 분이 있다고 해봅시다. 그러면 동성의 알몸을 보고 기분이 좋아져서 그 하루가 일이 술~술 풀리고 그러는 남자분들이 있을까요?

지관에 사시는 학우분들, 다른건 몰라도 누가 샤워 중일때 샤워실 문은 항상 닫아주시기 바랍니다."
"110","#94538번째울림
2017. 09. 17. 오전
<사랑>
대숲, 저는 헤어지고 나서 너무 힘들었어요. 

그래서 전여친을 최악의 사람으로 만들었어요.

힘들고 지쳐서 그애가 미워졌어요. 그래서 미워했어요. 헤어지길 잘했다고 생각하고 싶었어요.

그애가 사귀면서 했던 행동들을 모두 곱씹으면서 싸웠던 일들을 모두 그애가 저에게 피해를 줬던 일들로 나열했어요.
그애가 했던 말들을 다 이기적인 말들로 해석하고 그애를 최악의 사람으로 만들어버렸어요. 

나한테 했던 사랑의 말들과 행동, 
날 바라보던 그 눈 마저 최악으로 만들었어요. 

친구들에게는 잘못 걸렸다고 말하고 다니며
잘 헤어졌다는 말을 듣고
나는 왜 이렇게 사람 복이 없을까 생각을 했어요.

다시는 마주치지 말아야지, 생각하며 잘했다고 생각했어요. 

그런데, 정말 문득 어느날 
정말 아무 날도 아닌 어느날
그애가 했던 말이 생각이 났어요.

저에게 사랑을 말하던 그 말이 갑자기 생각이 났어요. 
그리고 나서 정말 이상하게
그애가 해줬던 모든 것들이 그제서야 생각이 나기
시작했어요. 

함께 걸었던 거리, 웃으며 나를 바라보던 얼굴,
손잡고 지나가던 길, 식당, 영화관,
그리고 그애의 눈과 마지막 표정..

분명, 미웠는데 이게 아닌데
그애와 함께 했던 모든 일들이 다시 생각이 났어요.

나를 사랑했던, 그리고 내가 사랑한 그애를 
저는 왜 그렇게 미워한 걸까요?

헤어지고 나서 그애가 왜 그렇게 싫었을까요?
뭐가 그렇게 무섭고 못마땅해서 
그애를 최악으로 만들고 저는 안심하고 싶었을까요..

사랑했던 사람의 모습을 바꿔버린 제가
너무 싫어서 그리고 그애가 너무 보고싶어서
잠이 오지 않아요."
"111","#94537번째울림
2017. 09. 17. 오전
<사랑>
나 하나 몸 가누기도 벅차서 연애 못 하겠다
내년에 입대인데 입대 전에도 솔로
제대 후에도 솔로 취업해도 솔로로 살겠다"
"112","#94536번째울림
2017. 09. 17. 오전
<사랑>
밀당그만하고 그냥 고백해주면안되니
아니면 내가 착각하는거니
그것도 아니면 이제 나한테 흥미가 떨어진거니
좀 지쳐이제는"
"113","#94535번째울림
2017. 09. 17. 오후
<인간관계>
여러분들은 전 애인의 흔적을 다들 어떻게 하나요..?

전 정말 모든 걸 삭제해버리는데
며칠전 제 여친의 카톡친구목록에 전남친이
아직 있는걸 발견했어요..

물론 대화내용 사진 이런건 다 삭제했지만
차단 왜 안하는지 이해가 안가요"
"114","#94534번째울림
2017. 09. 17. 오전
<사랑>
널 못 잊을 것 같아. 

우리 인연을 끊어낸 건 나인데, 난 널 못 잊을 것 같아.
너한텐 결국 이 말을 못했지만.
그럼에도 내가 널 끊어낸 건, 지금이 아니면 평생 못할 것 같아서야. 우린 똑같을 거고, 서로에게 상처를 줄 걸 아니까.

진짜 너무 마음이 찢어져. 함께 있으면 아무것도 없는 곳에 덩그러니 둘만 떨어져 있어도 함께 깔깔 웃으며 지낼 수 있거든. 그렇게 너랑 행복하고 싶거든. 지금 당장은 그러기 위해 무엇이는 하고싶은 심정이야. 하지만 안되겠지. 참아야 하겠지.

어딜 가서 뭘 보든 너와 해봐서 그리운 것, 아니면 너와 해보지 못해서 아쉬운 것 투성이네. 이런 내 마음 전하면 또 흔들리고 우리 원점으로 돌아갈까봐 직접 못말하겠어.

먼 훗날, 너도 나도 좀 더 성숙해지면, 좀 더 멀리서 볼 줄 알게되면, 그 때도 우리가 서로에게 마음이 남아있다면, 다시 너와 만나고 싶어. 하지만 이런 마음도 너무 이기적일 수 있다는 거 아니까 못말하겠어.

잘 지냈으면 좋겠다."
"115","#94533번째울림
2017. 09. 17. 오전
<사랑>
오늘 술자리에서 짝사랑 이야기하다가 현타와쓰여ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
진짜 남이 보면 별거 아닌걸로 망상하는 친구의 모습에 곧 내 모습일테니까ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아....짝사랑은 할 게 못 되나봐여ㅕㅕㅕㅕ"
"116","#94532번째울림
2017. 09. 17. 오전
<사는얘기>
으어아아아 친구야 제발 우리 쭈욱 친구로 남자
더이상 다가오지마 나도 너 좋아하게 될 거 같단 말야.."
"117","#94531번째울림
2017. 09. 17. 오전
<사랑>
""너랑 데이트하고 나면 일주일동안 삼김만 먹고 살아야 해""
기억나니? 취해서 술김에 한 말이라 기억 못하겠지
나는 그 말을 듣고 전화기 너머에서 오열했어 
물론 너에게는 안들리게. 너무 미안해서
너가 너의 경제적 상황이 좋지 않다고 처음 말했을 때 부터
항상 조마조마 했어 혹시 너에게 부담이 되지는 않을까
그렇지만 또 자존심 하나는 세상에서 제일 센 너라서
섣불리 내가 다 사겠다고 할 수도 없었고
역시 너는 부담이 됐었나봐 나와 헤어지기로 마음먹은 이유 중에 하나겠지
이제는 그런 걱정 안해도 되니까 많이 놀러다니고 좋아하는 술도 많이 마시고 알바도 적당히 힘들지 않을만큼만 하고
또 삼김이랑 라면 그만 먹고 맛있는거 사먹어
너 자신에게 아낌없이 투자하고 좋은 사람이 되렴
집안 사정도 빨리 나아지길 바랄게"
"118","#94530번째울림
2017. 09. 17. 오전
<사랑>
네가 좋다.

너는 무척 이쁘다. 하지만 남자로 따지면 잘생겼다가 아닌 '멋짐' . 외적인 아름다움도 상당하지만 너의 마음씨는 언제나 날 미소짓게 한다.

월요일이라도 널 볼수 있는 날이니 기다려지는구나."
"119","#94529번째울림
2017. 09. 16. 오후
<사는얘기>
아프지마 ㅇㅇ아
얼른 나아
사실은 아파도 와줘서 고마워"
"120","#94528번째울림
2017. 09. 16. 오후
<인간관계>
저는 정말 친한 여사친 있습니다. 학교 들어올 때 우연히 알게 되어서 그녀와 친해지게 되었습니다. 그녀를 여자를 절대로 보지도 않았고, 그녀를 여자로 볼 꺼라고는 생각도 못했습니다. 서로가 좋아하는 사람이 누군지도 알 정도로 친했는데, 이번학기에 들어와서 갑자기 제 마음에 변화가 생겼습니다. 갑자기 그녀가 좋아졌습니다. 그녀 랑 같이 있고 싶고, 그녀 생각만 나고, 꿈속에서도 그녀가 나오고, 그녀가 이뻐보이기 시작했습니다. 하지만 그걸 모르는 그녀는 저에게 계속 자기가 좋아하는 남자가 있다고 고민을 털어놓습니다. 제가 좋아하는 사람이 다른 사람을 좋아한다고 고민 상담을 하는데, 기분이 정말 너무 묘합니다. 그리고 어느 순간부터 그녀와 멀어지는게 느껴집니다. 그녀가 제 마음을 알아서 부담이라도 느낀 것인지, 아니면 그냥 힘들어서 그런 건지, 예 전와 같이 달라진 우리 관계가 너무 싫고, 그게 제가 좋아해서 그런 거처럼 느껴져서 너무 슬픕니다. 이거 진짜 어떻게 해야죠 ㅠㅠ 그녀는 좋고, 그녀를 포기하고 싶지는 않는데, 그녀는 절대 네버 저를 남자로 보지도 않고, 아휴 모르겠다……."
"121","#94527번째울림
2017. 09. 16. 오후
<사랑>
네가 보고싶어. 

넌 나보고 너무 소중한 친구라고 했어. 난 그게 좋았어. 그 말을 들었을 때 밤잠을 설쳤을 정도로 좋았지. 너가 나한테 전화해서 힘들다고 울먹이는 것도 좋았어. 그만큼 날 믿고 좋은 친구로 생각한다는 뜻일 테니까.

네가 대숲을 읽는지는 모르겠어. 하지만 어차피 말하지 못할 거, 여기에 올리고 싶어. 너가 네 얘기인걸 모르더라도 그냥 아무도 날 모르는 곳에 소리치고 싶어. 

좋아해. 너랑 친구로만 남고 싶지 않아. 하지만 너를 다시 못 볼까봐, 너한테 말하진 않을게. 

좋은 꿈 꿔. 하고 싶은 일 꼭 성공해. 이번 주도 웃으면서 만나자. 

안녕."
"122","#94526번째울림
2017. 09. 16. 오후
<인간관계>
외모 비하는 하면 안된다고들 하잖아요
그런데 그러면 성격 비하도 하면 안되는거 아닌가요? 
사실 외모는 자신의 잘못도 아니고 남한테 피해도 안주기 때문에 그렇단걸 알아요
그런데 제가 성격때문에 많이 욕 먹는데 그게 제가 일부러 그러거나 크게 잘못한게 아니에요
예를 들면 기분이 안 좋을 때 표정 관리를 못 하는거요 그것도 정도가 심하지 않을 정도로요
아니면 너무 소심한거요 그런데 이런걸로 인간관계에서 욕 먹고 너무 스트레스 받아서 속상해요
정말 하루에 200번은 고민하고 성격 바꾸고 싶어 죽겠어요 외모 성형하듯이...
저는 이런 성격으로 고통받는데 남들은 욕...까지는 아니더라도 피곤해하고 피하려 하고 뒤에서 얘기하더라고요 
그러면서 외모에 관련해서는 절대 비교 안 하고 얘기 안한다고 하니 제 상황에서는 너무 억울해요"
"123","#94525번째울림
2017. 09. 16. 오후
<사랑>
 있잖아.. 나 요즘 맨날 너한테 별 중요하지도 않은 이유로 먼저 연락하고 같이 저녁 맨날 먹자고하고 그러잖아, 또 너랑 게임 같이 하고 싶어서 일부러 피씨방도 너가 맨날 가는 곳으로 바꾸고, 너가 피씨방 간다고하면 다른 일 다 제쳐두고 마침 나도 가고싶었다는 핑계로 같이 가자곤 했잖아
 생각해보면 널 좋아하는거 같아, 이때까진 그냥 남녀친구사이였는데 갑자기 왜이러지..ㅋㅋㅋ 꾸밀 줄 모르는 너지만 그런 너가 좋아..! 그러니까 한번쯤은 너가 먼저 밥 같이 먹자고 연락해주라"
"124","#94524번째울림
2017. 09. 16. 오후
<저.. 진지합니다>
저 진지해요...
취준생 애인을 둔 분들 어떻게 연애하세요?
혹시나 애인이 멀리 취업해서 자주 못만나게 되면 어쩌지라는 생각이 들땐 어떻게 해야 될까요...."
"125","#94523번째울림
2017. 09. 16. 오후
<사는얘기>
 애인과 영화를 보러 갔어요. 커플들한테 당부하는 말이 있더라구요. 지나친 애정행각은 보는 이들로 하여금 불편함을 일으킬 수 있으니 손 잡거나 어깨동무 정도까지만 해달라는 글이었어요. 글을 읽자 위화감이 느껴지고 왠지 모르게 주눅이 들었어요. 언제 어디서나 손을 잡고 어깨동무를 할 수 있는 커플들이 부러워졌어요.
 형, 미안하고 사랑해. 다음 생에는 우리 이성으로 태어나자. 꼭."
"126","#94522번째울림
2017. 09. 16. 오후
<사랑>
마음 정리는 도대체 어떻게 하는 건가요?
밤마다 전화하고 싶고 목소리 듣고 싶고
지금 뭐하는지 묻고 싶고 
얼굴도 빤히 바라보고 싶고 찾아가고 싶고
밥도 같이 먹고 싶고 영화도 같이 보고 싶고
노래방도 같이 가고 싶고
손 잡고 싶어요
같이 하고 싶은 게 너무 많은데 정작 할 수 있는 게 아무것도 없어서 슬퍼요

첫연애 첫이별엔 무슨 생각을 해야 하나요? 
시간은 얼마나 지나야 괜찮아질까요?
다른 누군가를 만나지 않으면 계속 이렇게 지내는 건가요?
알려주세요..."
"127","#94521번째울림
2017. 09. 16. 오후
<사랑>
안녕 우리 어제 헤어졌잖아
너는 나에게 이성친구이기 전에 내가 마음을 온전히 연 첫 친구였어 
짧지않은 기간동안 사귀면서 정말 많이 힘들었잖아 우선 정말 고생했어 너도 나도
헤어지는거에 있어서는 확신이 서서 너에게 얘기했기에 후회는 없어
근데 끝내니까 미안했던것만 기억난다 되게 웃기지?
넌 내가 너랑 헤어지면 내가 다시 전처럼 아무에게도 마음을 주지 않을까 걱정했잖아 
그래서 결국 우린 예전처럼 정말 좋은 친구로 남기로 했고
바보같게도 나 그 소리 듣고 정말 많이 안도했어 그래도 네가 내곁에 있어준다는 거니까
사실 아직은 많이 헷갈린다 감정을 정리하지 못한건지 정말 네가 소중한건지 아님 둘다인건지
아마 지금은 둘다 같아 그래서 앞으로 내 마음을 지켜보려고 상황에 대한 객관적인 판단도 하고 말이야 너도 깎여나간 네 마음이 나아질 시간이 필요할거야 
이젠 전보다 자주 못보고 연락도 덜하고 서로에 대한 부담도 떨칠 수 있는 상태이니까
만약에 시간이 지나서 내가 그때도 널 너무 사랑한다면, 내가 네 마음 다시 얻으려고 노력해볼래 정말 우리 그땐 처음부터 시작하자 
정말 고마웠어 내 첫사랑
그리고 앞으로 잘 부탁해 내 베스트 프렌드"
"128","#94520번째울림
2017. 09. 16. 오후
<사랑>
오빠 좋은거 같아요
나이차는 다섯살이나 나지만
나이차 안느껴지게 나한테 편하게 대해주는 거 좋아요
엄청 웃기다가도 또 진지한 사람이라 좋아요
근데 제발 헷갈리게는 하지 말아주세요
모든 여자에게, 모든 후배에게 그렇게 친절한지
아님 나한테만 유독 이런건지 확실히 해주세요"
"129","#94519번째울림
2017. 09. 16. 오후
<술..>
하루하루를 버티기 위해 마시는걸까,
마시기 위해 하루하루를 버티는걸까."
"130","#94518번째울림
2017. 09. 16. 오후
<사는얘기>
왜 너의 이상형은 수줍고 어리버리한 귀여운 스타일인거니?ㅠㅠㅠㅠㅠㅠㅠㅠ난 당당하고 자신감 넘치는 여자가 되고 싶은데......"
"131","#94516번째울림
2017. 09. 16. 오후
<그 외 (위의 카테고리 외 기타 등등)>
다음 복면산을 풀어보세요.
서로 다른 문자는 서로 다른 숫자를 나타냅니다.

THREE은 소수
FOUR는 제곱수
EIGHT은 세제곱수"
"132","#94517번째울림
2017. 09. 16. 오후
<인간관계>
대하...
페이스북을 거의 안하는데 오늘은 너무 우울해서 제보해요..
오늘은 제가 태어난 날이에요.
집이 멀어서 타지에서 혼자 생일을 맞이했어요.
오늘 주말이라 친구들도 다들 아르바이트 하느라 바빠서 하루 종일 혼자 놀았어요.
제일 좋아하는 음식을 점심으로 먹고, 영화도 보고, 네일아트도 받고, 노래방도 가고...
스스로에게 해줄 수 있는 건 다 해줬는데 그래도 너무 우울해요.
그냥 여태까지 내가 왜 살았나 싶어요.
생일을 대수롭지 않게 여기고 그냥 넘기는 사람들도 있겠지만 저는 1년 중에 제일 중요한 날이에요.
이날이 없었으면 저도 없을테니까요.
많은 건 바라지 않아요. 
타지에서 외롭게 생활하고 있는 저에게 카톡으로 생일 축하해 한 마디는 보내줄 수 있잖아요.
겨우 그 한 줄이 어려운지. 나는 다 기억하고 항상 늦게라도 보내주는데...
오늘이 6시간도 채 안남았는데 제일 친하다고 생각했던 친구들한테 아직도 그 한 줄을 못받았어요.
아빠한테도 제가 아까 먼저 전화했단 말이에요..
이럴 때면 난 그 사람들한테 아무것도 아닌 것 같아서 너무 속상해요.
지금도 펑펑 울면서 이 글을 쓰고 있어요.
1년 중 가장 행복해야할 오늘인데 올해 중 제일 많이 울고 있네요.
여러분, 아무리 바쁘더라도 주변 사람들 생일에는 한마디라도 생일 축하한다고 해주세요.
그 사람은 그 말을 애타게 기다리고 있을지도 몰라요."
"133","#94515번째울림
2017. 09. 16. 오후
<사는얘기>
남의 옷이나 머리스타일에 관심을 꺼주셨으면 좋겠어요..
학교-피방-집-학교-피방-집 다니면서 잘 보이고 싶은 사람도 없고, 최소한 지저분하거나 개념없어보이지는 않게 하고 다니는데, 주변 사람들이 이 머리 해봐라 이런 셔츠 저런 슬랙스 입어보면 어떠냐 말이 너무 많아요.. 그것도 같은 남자들은 별 말이 없는데 그렇게 친하지도 않은 여자들이 자기 취향 들이대면서 저한테 계속 권하는게 너무 괴롭네요.."
"134","#94514번째울림
2017. 09. 16. 오후
<그 외 (위의 카테고리 외 기타 등등)>
네 명에게 사탕 11개를 나눠주었다.
A : B, 너 나보다 많이 받음?
B : 모르겠는데. C, 너 나보다 많이 받음?
C : 나도 몰라.
D : 아, 나 우리 몇 개씩 받았는지 알 듯!"
"135","#94513번째울림
2017. 09. 16. 오후
<사는얘기>
그 아이는 언제나 귀에 속삭이듯 말을 걸었다. 그리고 조용하게 안부를 물으며 무미건조한 대화를 이어나갔다.

- ""점심은?""
- ""먹었어.""
- ""그 다음 수업 어디야?""
- ""공학관.""
- ""같이 가자.""

공학관으로 가는 길은 정적만이 흘렀다. 항상. 그 아이와 걸을 때면 평소보다 빨리 걷는 느낌이었다. 실은 둘 다 발걸음이 느려 무리보다 훨씬 뒤쳐지고 있음에도,
바닥만 보며 걷다가 어느새 고개를 들면 눈 앞에 공학관이 서있었다. 

- ""잘가.""
- ""안녕.""

그제서야 내 숨소리가 들렸다."
"136","#94512번째울림
2017. 09. 16. 오후
<군대>
누구보다 열심히 공부했고, 누구보다 치열하게 살았다--고 생각한다.

전역을 하고 다 잊어버린 공식과 이론들을 다시 공부하고

읽혀지지 않는 책들을 붙잡고 머리를 싸매었다.

이미 저 멀리 앞서 버린 동기들과 후배들을 따라잡기 위해 부던히도 노력했다.

신입생 시절 웃고 떠들며 공연을 준비했던 동아리에는 더이상 익숙한 얼굴이 남아있지 않았고
먹을 만큼 나이를 먹은 복학생은 어느 동아리에서도 쉽게 받아들여지지 못했다.

2년 간의 계급사회동안 나도 모르는 사이 나에게 주입된 '꼰대' 기질은 가뜩이나 소심했던 나에게 있어
스스로 무서워 후배들과 거리를 두게 되는 촉매로서 작용했다

이제 졸업을 한 학기 앞둔 지금 이 순간, 지난 시간을 되돌아보게 된다.

군대를 가지 않았던 내 20대 초반은 과연 어떤 모습이였을까?

내 잃어버린 2년은 과연 어떤 모습이였을까?

누구도 답해줄 수 없는 질문이건만 오늘 따라 그 답이 너무나 궁금하다"
"137","#94511번째울림
2017. 09. 16. 오후
<사랑>
너랑 결혼하고싶다고, 평생 너만 좋아하면 된다고, 너만큼 날 설레게한 사람이 없다고 이런말 사귀면 다 하는 말인가요?"
"138","#94510번째울림
2017. 09. 16. 오후
<사는얘기>
도서관에서 빌린 책을 보고 있는지 언어의 기X을 보고 있는지 잘 모르겠습니다"
"139","#94509번째울림
2017. 09. 16. 오전
<학교>

저번에 이상한 대자보였나 포스터로 논란 있었던 소모임
이번에도 자극적인 신입 모집 포스터로 학교커뮤니티 아닌곳에서 학교 욕먹이시고 계시네요
포스터에 대놓고 '**'이라는 워딩 쓰시고
마치 저런말들을 하면 무조건 **이냐고 몰고간다는 식의 프레임 씌우시는게
위트있는 사회풍자라고 생각하신건가요

글쎄요 어그로 끌고 학교 욕먹이는게 목적이였다면 성공하신 것 같네요
**이 옳은 방향으로 나아가야 한다고 생각하는데 저건 아니에요 정말로
부끄러운줄 아세요

#94508번째울림
2017. 09. 16. 오전
<질문/건의/의견>
졸업생입니다. 들어보니 최근 ** 동아리를 학교에서 허가해 줬다고 하는 데, **이 어떤 곳인지는 검색을 조금만 해봐도 알 수 있으실겁니다. **랑 다를 곳이 없는 곳이지요. 차마 입에 담기 더러워서 디테일한 묘사는 안하겠습니다. 이런 동아리를 허가해 주다니, 부끄럽습니다. 학교 내 자정작용이 있기를 바랍니다.

#94507번째울림
2017. 09. 16. 오후
<학교>
**** 소모임? XX라고 있던데 학교에서 제재를 해주면 좋겠다.
홍보포스터에 대놓고 **이니 **이니 하는 문구들이 써있는데
단순한 **** 소모임이라면 별 문제가 없다 쳐도 스스로 ""**""임을 드러낸다면,
루머대로 정식 동아리로 승인되었다면 당장 번복시키는것이 맞고, 소모임이라 쳐도 혐오스러운 포스터를 붙여가며 모집하고있다면 제재해야 맞다고 본다.
와닿지 않는다면 **스러운 말투를 써가며 자국여성 비하하고 전직 대통령을 비하하는 문구로 어떤 소모임이 모집활동을 하고있다고 상상해봐라.
자국남성, 안중근 등 수많은 역사적 위인들을 **으로 매도하며, 성기절단 사진등을 공유하는 등 결코 정상적인 사고방식을 가진걸로 보이지 않는 사이트와 연결된 동아리 혹은 소모임은 제재를 받아야 맞다고 본다.

성하예프중 하나인 하버드에서는 페이스북에 인종,성 차별적 발언을 했다는 이유로 학생들을 퇴교시키지 않았던가?"
"140","#94506번째울림
2017. 09. 16. 오전
<저.. 진지합니다>
오늘에서야 확실해진거 같아. 나 다중인격인것 같아. 하나는 과묵하기 짝이 없는 무슨 일이 벌어져도 침착하기 짝이 없고. 정말 말이 없다 못해 존재감이 적어지는 애. 또 하나는 활발하기 짝이 없고 다들 성격이 정말 좋고 사람도 좋다고 하는 애네. 근데 정말 더 이상한건 지금 이걸 쓰고 있는 애는 누구지. 우울하다는 생각과 힘들다는 생각밖에 안 드는데. 나 정말 다중인격인가. 이런때 속에서 자꾸 활발해지라고 누가 얘기를 하는데 전혀 흥이 오르지도 않고 가만히 있고 싶어. 짜증이 막 치솟아. 그리고 지금 목소리는 무미건조하고 감정이 담겨져 있지 않아. 도대체 뭘까.. 게다가 대부분의 사람들이 나에게 남긴 평가가 정말 제각각이라는거야..말 수가 적은 애 아니면 성격 좋은 친구. 생각이 깊은 친구..진짜 수준 낮은 친구 등등. 맞다. 그러고 보니 고등학생때 내가 쓴 글을 참 좋아했었던 선생님이 있었는데. 내 글을 보고 자주 해주셨던 얘기가 있다.

너가 쓴거 맞아?

그때는 아무 생각없이 맞다고 대답했는데. 지금 보니 아니네."
"141","#94505번째울림
2017. 09. 16. 오전
<군대>
전역까지 160일 남은 군인입니다! 
160일 정도면 여자 만나도 되지 않나요?!"
"142","#94504번째울림
2017. 09. 16. 오전
<사는얘기>
저 너무 귀여운것같아요~ 뀨!"
"143","#94503번째울림
2017. 09. 16. 오후
<인간관계>
대숲!!
조모임이 너무 재밌어요
다들 막학기라 1도 관심이 없어요
조모임 시간이 12시였고 지금 12시 10분인데 아무도 안 왔어요
나도 안 갔지만"
"144","#94502번째울림
2017. 09. 16. 오후
<사는얘기>
분명 잊고싶었고
잊었다 생각했는데
왜 널 보고 난 이후로
계속 니 생각이 나는걸까"
"145","#94501번째울림
2017. 09. 16. 오전
<사랑>
날 위해서 헤어진다는게 말이 되는 소리인가
날 위한다면 헤어지질 말았어야되는거 아닌가...?"
"146","#94500번째울림
2017. 09. 16. 오전
<사랑>
죽고 싶다
가족들은 하루하루 더 아프고 집은 더 어려워지고 주변 사람들은 소리를 지른다 고성이 오간다 
쉴 곳이 필요해 시간을 내어 집으로 왔지만 내가 있을 곳은 네 평 남짓한 내 방뿐이다
시를 쓰고 싶은데 이제는 문장 짓는 것도 못하겠다
내 문장에는 아무런 효력이 없다

학교를 관두고 싶은데 사실 할 줄 아는 게 없어서 관두면 더 문제고
버텨야만 한다는 걸 알면서도 당장은 버티고 싶지가 않다 그냥 다 그만두고 싶다
나를 좋아하지 않던 그 사람은 헤어지고서 더 잘 산다 얼마 전엔 화를 냈다 내가 가장 무서워했던 한숨을 푹푹 내쉬며
정말로 울고 싶었다
내게 있어서 최선이었던 친구는 나를 차선이라고 생각하고 있었다
눈물도 안 나왔다

나를 가장 먼저 생각해주는 사람이 없다
심지어는 나 스스로마저도 나를 우선으로 생각하지 않는다
어떻게 그럴 수 있을까? 나는 자기중심적으로 사는 것을 경외한다

감당해야 할 것들을 감당하고 싶지 않고
이런 거 말할 곳 찾고 또 찾았는데 여기뿐이라는 게 서럽고
나는 너무 힘든데 그 누구에게도 기댈 수 없고
이젠 누굴 좋아하면 안 될 거 같고 그 누구와도 가까이 해선 안 될 것 같고
나를 가장 가까이 여기는 사람이 없다는 게 슬프고
나는 왜 하필 이 모양 이 꼴로 태어났는가 
왜 나는 나로 태어났는가 어지럽다

내가 내일 죽으면 사람들은 일주일쯤 기억할 것이고
내가 사랑하는 나의 가족들 나의 강아지를 언젠가 다시 만날 것이고
이 글, 나의 푸념, 얼굴도 이름도 모르는 누군가의 신세한탄은 아래로 떠내려갈 것이고
겁이 많은 나는 죽을까 말까 고민하다가 결국 죽지 못할 것이다

죽지 못한 나는 잘 웃지를 않고 축 늘어진 채로 힘들어할 것이고
주변 사람들의 관심을 하루이틀 받다가
그들은 지쳐서 나가떨어질 것이다
너는 애가 늘 왜 그 모양이냐
감정기복이 심하구나 하면서

그런데 어쩌지 
사실 나는 늘 죽고 싶었다 
죽고 싶었다가 죽는 게 무서웠다가 그 사이를 오락가락 하였다

정말로 어쩌면 좋지
더는 쉴 곳이 없구나
이젠 어느 집에도 발을 들일 수가 없구나
사랑만으로는 할 수 있는 게 아무것도 없구나"
"147","#94499번째울림
2017. 09. 16. 오전
<질문/건의/의견>
여러분 바람의 기준이 대체 뭘까요?
저는 적어도 상대방이 이해해주지 못하면 그건 바람이라고 생각합니다.
저희 과에서 동기 과cc가 있었는데 후배 여자애가 중간에 끼게 되면서 여러모로 문제가 생겼습니다.
끝까지 바람이 아니라고 우기는 새로운 커플과 남들은 다 바람이라고 하는 이 상황 너무 웃기고 어이가 없습니다.
사귀기 전부터 단 둘이 자주 목격되었고 소문까지 돌 정도로 친했는데 환승이별일뿐 바람은 아니라는군요.
제 친구이지만 저조차도 이해할 수 없습니다.
얼마나 뻔뻔한건지조차도 모르겠습니다.
같은 과에서 환승이별이라니요.
아니 환승이별은 바람이 아닙니까?
제가 너무 보수적인건가요..
아니 환승이별은 경우에 따라 바람이 아닐 수도 있겠습니다만 같은 과에서 사귀기 전부터 단 둘이 여러 번 목격된건 경우가 다르다고 생각합니다.
욕하는 다수가 잘못된건가요 사실 친구라서 저조차도 대숲에 올려볼뿐 앞에선 아무 말 못합니다.
이런 저도 한심할 따름입니다."
"148","#94498번째울림
2017. 09. 16. 오전
<군대>
공군이 육군친구와 대화하다 충격받은거

1. 동이불 하이불 구분이 없음
2. 병사끼리 관등성명을 댐
3. 축구하기 싫어도 억지로 끌려나감
4. 에어컨을 자유롭게 못틈"
